Nombre,Precio,Categoría,Supermercados
Cable HDMI,500,Electrónica,
Pepino,500,Verdura,
Detergente,2500,Limpieza,
Toallas de papel,800,Limpieza,
Queso crema,1800,Alimento,
Aceite de oliva,3500,Condimento,
Pimiento,1000,Verdura,
Cuchara,300,Utensilio,
Auriculares inalámbricos,3000,Electrónica,
Pantalones,35000,Vestuario,
Tostadas,1200,Snack,
Papel aluminio,800,Utensilio,
Esponja,500,Lavado,
Calcetines,1000,Vestuario,
Jabón de manos,500,Higiene,
Tomates,800,Fruta,
Jabón en barra,1000,Higiene,
Martillo,1200,Herramienta,
Melón,2000,Fruta,
Licor,5000,Bebida,
Cepillo de uñas,200,Higiene,
Velas perfumadas,1000,Hogar,
Máquina de coser,90000,Electrodomestico,
Cereal de maíz,2500,Alimento,
Mantequilla,1800,Alimento,
Limones,800,Fruta,
Esmalte de uñas,1500,Belleza,
Pan blanco,1500,Alimento,
Pintura acrílica,2000,Arte,
Pizza,4500,Alimento,
Vasos desechables,500,Utensilio,
Manteles,2000,Hogar,
